Domain,Authors,Year,Title,Venue,VenueType,Citation,ResearchQuestion,SpaceTask,DependentMeasurePrimary,Scale,FoR,FoR_In_Task,PerformanceIfRestrictedFoR,Discussion_Notes,CoderName,PublishingLanguage,StudyNumber,TaskID,Country,SpecificLocation,LocationNotes,UrbanRural,UrbanRuralCertainty,Language,LanguageNotes,WALSCode,ISOCode,GlottologCode,CulturalGroup,CulturalGroupNotes,OverallNotes,PrivateNotes,GroupSampleSize,StudySampleSize,RepeatedParticipantsWithinStudy,FunRating
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants identify where a hidden coin was in reference to a sheep figurine without the question using specific left/right language.  The figurine as well as coin was held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts.,LanguageProductionSpoken,small,ego,ego/allo,,"65.22% used L/R terms, 43.48% used L/R terms with no mistakes. Those who used non-L/R used intrinsic descriptors.",Ortega,English,1,a,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Spanish,,spa,,,child spanish speakers in the mayan urban area,"13 girls, 10 boys, Mage = 11.68 years",,,23,80,0,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants identify where a hidden coin was in reference to a sheep figurine without the question using specific left/right language.  The figurine and coin were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts. ,LanguageProductionSpoken,small,allo,ego/allo,,"25.93% used L/R terms, 3.70% used L/R terms with no mistakes; all Tseltal-speaking children who used L/R terms used the Spanish terms even with the research team using only Tseltal and no Spanish up to this point. Those who used non-L/R used intrinsic descriptors.",Ortega,English,1,a,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan urban area,"16 girls, 11 boys, Mage = 11.65 years",,,27,80,0,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants identify where a hidden coin was in reference to a sheep figurine without the question using specific left/right language.  The figurine and coin were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts.,LanguageProductionSpoken,small,allo,ego/allo,,"6.67 used L/R terms, 6.7% used L/R terms with no mistakes, all Tseltal-speaking children who used L/R terms used the Spanish terms even with the researcher team using only Tseltal and no Spanish up to this point. Those who used non-L/R used intrinsic descriptors.",Ortega,English,1,a,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,rural,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan rural area,"13 girls, Mage = 11.40 years",,,30,80,0,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants had to identify where a hidden coin was in reference to a sheep figurine and are specifically asked to choose between left and right. The figurine and coin were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts.,ForcedChoiceDescription,small,ego,ego,good,~77% chose accurately,Ortega,English,1,b,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Spanish,,spa,,,child spanish speakers in the mayan urban area,"13 girls, 10 boys Mage = 11.68 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,23,80,23,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants had to identify where a hidden coin was in reference to a sheep figurine and are specifically asked to choose between left and right. The figurine and coin were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts.,ForcedChoiceDescription,small,ego,ego,good,~72% chose accurately,Ortega,English,1,b,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan urban area,"16 girls, 11 boys, Mage = 11.65 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,27,80,27,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants had to identify where a hidden coin was in reference to a sheep figurine and are specifically asked to choose between left and right. The figurine and coin were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts.,ForcedChoiceDescription,small,ego,ego,bad,~60% chose accurately,Ortega,English,1,b,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,rural,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan rural area,"13 girls, 17 boys Mage = 11.40 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,30,80,30,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants saw 2 coins placed on either side of a sheep figurine then closed their eyes. The figurine and coins were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts. The apparatus is spun before participants open eyes and are asked which coin is to the left/right of the sheep. Participants are asked to respond by pointing. ,GesturePrompted,small,ego,ego,good,~78% chose accurately,Ortega,English,1,c,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Spanish,,spa,,,child spanish speakers in the mayan urban area,"13 girls, 10 boysMage = 11.68 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,23,80,23,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants saw 2 coins placed on either side of a sheep figurine then closed their eyes. The figurine and coins were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts. The apparatus is spun before participants open eyes and are asked which coin is to the left/right of the sheep. Participants are asked to respond by pointing. ,GesturePrompted,small,ego,ego,good,~65% chose accurately,Ortega,English,1,c,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan urban area,"16 girls, 11 boys, Mage = 11.65 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,27,80,27,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,Participants saw 2 coins placed on either side of a sheep figurine then closed their eyes. The figurine and coins were held on a 4-armed apparatus that spun to change the sheeps orientation with the coin's location moving equal amounts. The apparatus is spun before participants open eyes and are asked which coin is to the left/right of the sheep. Participants are asked to respond by pointing. ,GesturePrompted,small,ego,ego,bad,~56% chose accurately,Ortega,English,1,c,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,rural,3,Tseltal,,tzt,,,child Tseltan speakers in the mayan rural area,"13 girls, 17 boys, Mage = 11.40 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,30,80,30,
Space,"Abarbanell, Li",2021,Unraveling the contribution of left-right language on spatial perspective taking,Spatial Cognition & Computation,Journal,"Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.",How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?,"Participants were asked to follow movement commands that contained left/right language (i.e. ""Lift your left arm) both while facing toward and away from the researcher.",Accuracy,small,ego,ego,good,~95% respond correctly; ,Ortega,English,1,d,Mexico,"Tenejapa, Chiapas, Mexico",Within Mayan community both in and around municipal center,urbans,3,Spanish,,spa,,,child spanish speakers in the mayan urban area,"13 girls, 10 boys, Mage = 11.68 years","when asking left/right, researchers used spanish terms. It was reported by parents and teachers that the Tseltal terms for left/right are rarely, if ever, used.",,23,80,23,
