"Authors","Year","Title","Venue","VenueType","Citation","ResearchQuestion"
"Abarbanell, Li",2021,"Unraveling the contribution of left-right language on spatial perspective taking","Spatial Cognition & Computation","Journal","Linda Abarbanell & Peggy Li (2021) Unraveling the contribution of leftright language on spatial perspective taking, Spatial Cognition & Computation, 21:1, 1-38.","How does knowledge of left-right language influence children's (10-13yrs) spatial perspective taking abilities?"
"Abarbanell, Montana, Li",2011,"Revisiting the plasticity of human spatial cognition","International Conference on Spatial Information Theory","Conference Proceedings","Abarbanell, L., Montana, R., & Li, P. (2011, September). Revisiting the plasticity of human spatial cognition. In International Conference on Spatial Information Theory (pp. 245-263). Springer, Berlin, Heidelberg.","Which FoRs are preferred by monolingual spanish speaker in Santa María Ixcatlán?"
"Adamou, Shen",2017,"Beyond language shift: spatial cognition among the Ixcatecs in Mexico","Journal of Cognition and Culture","Journal","Adamou, E., & Shen, X. R. (2017). Beyond language shift: spatial cognition among the Ixcatecs in Mexico. Journal of Cognition and Culture, 17(1-2), 94-115.","Which FoRs are preferred by monolingual spanish speaker in Santa María Ixcatlán?"
"Báez",2011,"Spatial frames of reference preferences in Juchitán Zapotec","Language Sciences","Journal","Báez, G. P. (2011). Spatial frames of reference preferences in Juchitán Zapotec. Language Sciences, 33(6), 943-960.","What spatial FoRs are preferred by speakers of Juchiteco Zapotec?"
"Beller, Bender",2017,"How relative is the relative frame of reference? Front and back in Norwegian, Farsi, German, and Japanese","Proceedings of the 39th Annual Conference of the Cognitive Science Society","Conference Proceedings","Beller, S. & Bender, A. (2017). How Relative is the Relative Frame of Reference? Front and back in Norwegian, Farsi, German, and Japanese. In G. Gunzelmann, A. Howes, T. Tenbrink, & E. J. Davelaar (Eds.), Proceedings of the 39th Annual Conference of the Cognitive Science Society (118-123). Cognitive Science Society.","Does language impact which variation of the relative FoR for the frontal and dorsal perspectievs are preferred"
"Beller, Singmann, Hüther, Bender",2015,"Turn around to have a look? Spatial referencing in dorsal vs. frontal settings in cross-linguistic comparison","Frontiers in Psychology","Journal","Beller, S., Singmann, H., Hüther, L., & Bender, A. (2015). Turn around to have a look? Spatial referencing in dorsal vs. frontal settings in cross-linguistic comparison. Frontiers in Psychology, 6, 1283.","Which FoRs are prefered by speakers of different languages (German, US-English, Mandarin Chinese, and Tongan) for the variants of the relative FoR in frontal and dorsal settings?"
"Bender, Teige-Mocigemba, Rothe-Wulf, Seel, Beller",2020,"Being in front is good - but where is in front? Preferences for spatial referencing affect evaluation","Cognitive Science","Journal","Bender, A., Teige-Mocigemba, S., Rothe-Wulf, A., Seel, M., & Beller, S. (2019). Being in front is good - but where is in front? Preferences for spatial referencing affect evaluation. Cognitive Science, 44(6).","Are perceptions of positivity and negativitity cross-culturally associated with FoR positions"
"Bender, Beller, Bennardo",2010,"Temporal frames of reference: conceptual analysis and empirical evidence from German, English, Mandarin Chinese and Tongan","Journal of Cognition and Culture","Journal","Bennardo, G., Beller, S., & Bender, A. (2010). Temporal frames of reference: Conceptual analysis and empirical evidence from German, English, Mandarin Chinese and Tongan. Journal of Cognition and Culture, 10(3-4), 283-307.","Do spatial conceptions of time include specific representations of the relative FoR"
"Bohnemeyer",2011,"Spatial frames of reference in Yucatec: Referential promiscuity and task-specificity","Language Sciences","Journal","Bohnemeyer, J. (2011). Spatial frames of reference in Yucatec: Referential promiscuity and task-specificity. Language sciences, 33(6), 892-914.","How does referential promiscuity manifest in Yucatec Maya, and how does task moderate it"
"Bohnemeyer, Donelson, Tucker, Benedicto, Capistrán Garza, Eggleston, Hernández Green, de Jesús, Hernández Gómez, Herrera Castro O’Meara, Palancar, Pérez Báez, Polian, Romero Méndez",2014,"The Cultural Transmission of Spatial Cognition: Evidence from a Large-scale Study","Proceedings of the Annual Meeting of the Cognitive Science Society","Journal","Bohnemeyer, J.; Donelson, K.; Tucker, R.; Benedicto, E.; Garza, A. C; Eggleston, A., et al. (2014). The Cultural Transmission of Spatial Cognition: Evidence from a Large-scale Study. Proceedings of the Annual Meeting of the Cognitive Science Society, 36.","What are the influences on FoR preference in language and non linguistic cognition in speakers of 11 linguistic varieties of Mexico, Nicaragua, and Spain?"
"Caffò, Lopez, Spano, Stasolla, Serino, Cipresso, Riva Bosco",2020,"The differential effect of normal and pathological aging on egoventric and allocentric spatial memory in navigational and reaching space","Neurological Sciences","Journal","Caffò, A. O., Lopez, A., Spano, G., Stasolla, F., Serino, S., Cipresso, P., & Bosco, A. (2020). The differential effect of normal and pathological aging on egocentric and allocentric spatial memory in navigational and reaching space. Neurological Sciences, 41, 1741-1749.","How does aging, gender, and cognitive disorders impact the retrieval and computation of familiar spatial knowledge"
"Capistran Garza",2011,"Locative and orientation descriptions in Tarascan: Topological relations and frames of reference","Language Sciences","Journal","Capistran Garza, A. (2011). Locative and orientation descriptions in Tarascan: Topological relations and frames of reference. Language Sciences, 33(6), 1006-1024.","What spatial FoRs are preferred by speakers of Tarascan for orientation and locative descriptions"
"Celik, Takubo, Núñez",2019,"Spatial frames of reference in Miyako: Digging into Whorfian linguistic relativity","Japanese/Korean Linguistics","Conference Proceedings","Celik, K., Takubo, Y., & Núñez, R. (2019). Spatial frames of reference in Miyako: Digging into Whorfian linguistic relativity. Japanese/Korean Linguistics, 25.","What spatial FoRs are preferred by speakers of Miyako"
"Cerqueglini",2015,"Spatial frames of reference in tranditional Negev Arabic: language-to-cognition correlation","Cognitive Processing","Journal","Cerqueglini, L. (2015). Spatial frames of reference in traditional Negev Arabic: Language-to-cognition correlation. Cognitive Processing, 16(1), 185-188.","Do speakers of Traditional Negev Arabic have preferences for spatial FoRs"
"Dasen, Changkakoti, Abbiati, Niraula, Mishra",2009,"Geocentric gestures as a research tool","Proceedings from the 18th International Congress of the international Associaiton for Cross-Cultural Psychology","Conference Proceedings","Dasen, P. R., Changkakoti, N., Abbiati, M., Niraula, S., Mishra, R. C., & Foy, H. (2009). Geocentric gestures as a research tool. In G. Aikaterini & K. Myonas (Eds.), Quod Erat Demonstrandum: From Herodotus' ethnographic journeys to cross-cultural research: Proceedings from the 18th International Congress of the International Association for Cross-Cultural Psychology.","Do Nepali speakers' gestures indicate their deictics as allocentric"
"Dobnik, Kelleher, Howes",2020,"Local alignment of frame of reference assignment in English and Swedish dialogue","Proceedings from Spatial Cognition XII: Lecture Notes in Artificial Intelligence","Conference Proceedings","Dobnik, S., Kelleher, J. D., & Howes, C. (2020). Local Alignment of Frame of Reference Assignment in English and Swedish Dialogue. In J. Škilters, N. Newcombe, & D. Uttal (Eds.), Spatial Cognition XII: Lecture Notes in Artificial Intelligence, 12162 (pp. 251–267). Springer. https://doi.org/https://doi.org/10.10007/978-3-030-57983-8","How do people use and shift between FoR in free dialogue"
"Edmonds-Wathen",2011,"What comes before?: Understanding spatial frames of reference in Iwaidja","Proceedings of the ICMI Study 21 Conference: Mathematics and language diversity","Conference Proceedings","Edmond-Wathen, C. (2011). What comes before?: Understanding spatial reference in Iwaidja. In M. Setati, T. Nkambule, L. Goosen (Eds.), Proceedngs of the ICMI Study 21 Conference: Mathematics and language diversity (pp. 89-97). Sāo Paolo, Brazil: ICMI","What are Iwaidja speakers' preferences for FoR?"
"Eggleston, Benedicto, Balna",2011,"Spatial frames of reference in Sumu-Mayangna","Language Sciences","Journal","Eggleston, A., Benedicto, E., & Balna, M. Y. (2011). Spatial frames of reference in Sumu-Mayangna. Language Sciences, 33(6), 1047-1072.","What spatial FoRs are preferred by speakers of Sumu-Mayangna"
"Guen",2011,"Speech and Gesture in Spatial Language and Cognition Among the Yucatec Mayas","Cognitive Science","Journal","Le Guen, O. (2011). Speech and gesture in spatial language and cognition among the yucatec mayas. Cognitive Science, 35(5), 905–938. ","What is the preferred FoR for speakers of Yucatec Maya, specifically when looking at both speech and gesture?"
"Haun, Rapold",2009,"Variation in memory for body movements across cultures","Current Biology","Journal","Haun, D. B. M., & Rapold, C. J. (2009). Variation in memory for body movements across cultures. in Current Biology, 19(23). ","Do previous findings of FoR influence on memorizing spatial arrays also apply to memorizing the movements of our own body?"
"Haun, Rapold",2009,"Variation in memory for body movements across cultures","Current Biology","Journal","Haun, D. B. M., & Rapold, C. J. (2009). Variation in memory for body movements across cultures. in Current Biology, 19(23).","Do previous findings of FoR influence on memorizing spatial arrays also apply to memorizing the movements of our own body?"
"Haun, Rapold, Janzen, Call, Levinson",2006,"Cognitive cladistics and cultural override in Hominid spatial cognition","Proceedings of the National Academy of Sciences of the United States of America","Journal","Haun, D. B. M., Rapold, C. J., Call, J., Janzen, G., Levinson, S. C. (2006). Cognitive cladistics and cultural override in Hominid spatial cognition. Proceedings of the National Academy of Sciences of the United States of America, 103 (46), 17568-17573.","Does FoR performance and preference differ cross-culturally"
"Haun, Rapold, Janzen, Levinson",2011,"Spatial language and cognition covary across cultures","Cognition","Journal","Haun, D. B., Rapold, C. J., Janzen, G., & Levinson, S. C. (2011). Plasticity of human spatial cognition: Spatial language and cognition covary across cultures. Cognition, 119(1), 70-80.","Do FoR performance and plasticity differ cross-culturally"
"Hüther, Bentz, Spada, Bender, Beller",2013,"Influences Beyond Language: Comparing Spatial Referencing in Native French Speakers from Four Countries","Proceedings of the Annual Meeting of the Cognitive Science Society","Journal","Huther, L., Bentz, A., Spada, H., Bender, A., & Beller, S. (2013). Influences Beyond Language: Comparing Spatial Referencing in Native French Speakers from Four Countries. Proceedings of the Annual Meeting of the Cognitive Science Society, 35.","Are there variations in FoR preference within one language (French) used in different countries?"
"Hüther, Bentz, Spada, Bender, Beller",2013,"Influences Beyond Language: Comparing Spatial Referencing in Native French Speakers from Four Countries","Proceedings of the Annual Meeting of the Cognitive Science Society","Journal","Huther, L., Bentz, A., Spada, H., Bender, A., & Beller, S. (2013). Influences Beyond Language: Comparing Spatial Referencing in Native French Speakers from Four Countries. Proceedings of the Annual Meeting of the Cognitive Science Society, 35. ","Are there variations in FoR preference within one language (French) used in different countries?"
"Kataoka, Asahi",2015,"Synchornic and diachronic variation in the use of spatial frames of reference: An analysis of Japanese route instruction","Journal of Sociolinguistics","Journal","Kataoka, K. & Asahi, Y. (2015). Synchronic and diachronic variation in the use of spatial frames of reference: An analysis of Japanese route instruction. Journal of Sociolinguistics, 19(2), 133-160.","How does the usage of spatial FoR change as a community and individually over time"
"Levinson, Kita, Haun, Rasch",2002,"Returning the tables: Language affects spatial reasoning","Cognition","Journal","Levinson, S. C., Kita, S., Haun, D. B.M., Rasch, B. H. (2002). Returning the tables: Language affects spatial reasoning. Cognition, 84, 155-188","How does language affect spatial reasoning"
"Levinson, Brown",1994,"Immanuel Kant among the Tenejapans: Anthropology as empirical philosophy","Ethos","Journal","Levinson, Stephen C., and Penelope Brown. 1994. “Immanuel Kant Among the Tenejapan: Anthropology as Empirical Philosophy.” Ethos 22 (1): 3-41","Do speakers of Tzeltal lack a left/right binary"
"Li",2012,"Different spatial terms in navigation system for Chinese drivers","Cognitive Processing","Journal","Li, J. (2012). Different spatial terms in navigation system for Chinese drivers. Cognitive Processing, 13(1), 229-232.","Does region and gender impact FoR performance for speakers of the same language"
"Li, Zhang",2009,"Regional differences in spatial frame of reference systems for people in different areas of china","Perceptual and Motor Skills","Journal","Li, J. & Zhang, K. (2009). Regional differences in spatial frame of reference systems for people in different areas of China. Perceptual and Motor Skills, 108(2), 587-596.","Does processing speed of spatial linguistic terms differ between Northern and Southern Chinese participants"
"Li and Abarball",2018,"Competing perspectives on frames of reference in language and thought","Cognition","Journal","Li, P. & Abarbanell, L. (2018). Competing perspectives on frames of reference in language and thought. Cognition, 170, 9-24.","Have methodological failings impacted the results of past cross-cultural studies of Tenejapan Mayans"
